TIME	TEMP
2015-1-12T23:49:2Z	4.000
2015-1-12T23:49:13Z	4.000
2015-1-12T23:49:25Z	3.937
2015-1-12T23:49:36Z	3.937
2015-1-12T23:49:47Z	3.937
2015-1-12T23:49:58Z	3.937
2015-1-12T23:50:9Z	3.937
2015-1-12T23:50:20Z	3.937
2015-1-12T23:50:31Z	3.937
2015-1-12T23:50:42Z	3.875
2015-1-12T23:50:53Z	3.875
2015-1-12T23:51:4Z	3.875
2015-1-12T23:51:15Z	3.875
2015-1-12T23:51:26Z	3.875
2015-1-12T23:51:37Z	3.937
2015-1-12T23:51:48Z	3.937
2015-1-12T23:51:59Z	3.937
2015-1-12T23:52:11Z	3.937
2015-1-12T23:52:22Z	3.937
2015-1-12T23:52:33Z	3.937
2015-1-12T23:52:44Z	3.937
2015-1-12T23:52:55Z	3.937
2015-1-12T23:53:6Z	3.937
2015-1-12T23:53:17Z	3.937
2015-1-12T23:53:28Z	3.937
2015-1-12T23:53:39Z	3.937
2015-1-12T23:53:50Z	3.937
2015-1-12T23:54:1Z	3.937
2015-1-12T23:54:12Z	3.937
2015-1-12T23:54:23Z	4.000
2015-1-12T23:54:34Z	4.000
2015-1-12T23:54:45Z	4.000
2015-1-12T23:54:57Z	4.063
2015-1-12T23:55:8Z	4.063
2015-1-12T23:55:19Z	4.063
2015-1-12T23:55:30Z	4.000
2015-1-12T23:55:41Z	4.000
2015-1-12T23:55:52Z	3.937
2015-1-12T23:56:3Z	3.937
2015-1-12T23:56:14Z	3.937
2015-1-12T23:56:25Z	3.937
2015-1-12T23:56:36Z	4.000
2015-1-12T23:56:47Z	3.937
2015-1-12T23:56:58Z	3.937
2015-1-12T23:57:9Z	4.000
2015-1-12T23:57:20Z	4.000
2015-1-12T23:57:31Z	4.000
2015-1-12T23:57:43Z	3.937
2015-1-12T23:57:54Z	3.937
2015-1-12T23:58:5Z	4.000
2015-1-12T23:58:16Z	4.000
2015-1-12T23:58:27Z	4.063
2015-1-12T23:58:38Z	4.063
2015-1-12T23:58:49Z	4.063
2015-1-12T23:59:0Z	4.000
2015-1-12T23:59:11Z	4.063
2015-1-12T23:59:22Z	4.063
2015-1-12T23:59:33Z	4.063
2015-1-12T23:59:44Z	4.063
2015-1-12T23:59:55Z	4.063
2015-1-13T0:0:6Z	4.063
2015-1-13T0:0:17Z	4.063
2015-1-13T0:0:29Z	4.063
2015-1-13T0:0:40Z	4.063
2015-1-13T0:0:51Z	4.000
2015-1-13T0:1:2Z	4.000
2015-1-13T0:1:13Z	4.000
2015-1-13T0:1:24Z	4.000
2015-1-13T0:1:35Z	3.937
2015-1-13T0:1:46Z	4.000
2015-1-13T0:1:57Z	3.937
2015-1-13T0:2:8Z	3.875
2015-1-13T0:2:19Z	3.875
2015-1-13T0:2:30Z	3.937
2015-1-13T0:2:41Z	3.937
2015-1-13T0:2:52Z	3.937
2015-1-13T0:3:3Z	3.937
2015-1-13T0:3:15Z	3.875
2015-1-13T0:3:26Z	3.875
2015-1-13T0:3:37Z	3.812
2015-1-13T0:3:48Z	3.875
2015-1-13T0:3:59Z	3.937
2015-1-13T0:4:10Z	3.937
2015-1-13T0:4:21Z	3.875
2015-1-13T0:4:32Z	3.875
2015-1-13T0:4:43Z	3.875
2015-1-13T0:4:54Z	3.875
2015-1-13T0:5:5Z	3.937
2015-1-13T0:5:16Z	3.937
2015-1-13T0:5:27Z	3.937
2015-1-13T0:5:38Z	4.000
2015-1-13T0:5:49Z	3.937
2015-1-13T0:6:1Z	3.937
2015-1-13T0:6:12Z	3.937
2015-1-13T0:6:23Z	3.875
2015-1-13T0:6:34Z	3.937
2015-1-13T0:6:45Z	3.875
2015-1-13T0:6:56Z	3.812
2015-1-13T0:7:7Z	3.812
2015-1-13T0:7:18Z	3.875
2015-1-13T0:7:29Z	3.875
2015-1-13T0:7:40Z	3.875
2015-1-13T0:7:51Z	3.875
2015-1-13T0:8:2Z	3.812
2015-1-13T0:8:13Z	3.875
2015-1-13T0:8:24Z	3.875
2015-1-13T0:8:36Z	3.937
2015-1-13T0:8:47Z	3.937
2015-1-13T0:8:58Z	3.937
2015-1-13T0:9:9Z	3.937
2015-1-13T0:9:20Z	3.937
