ñÛúˆçÎíıúÌ°¸´Òù¿ñÀ´Òàƒñ…âƒ–ËòÓ´˜ñŸîÈñÈîÈúÌ– –÷úÌàƒíÌñ—ñÎúÔñÎ–™¡”í—åÔîÎ“ãí—çÔñÎ–´ñ—úÔ–´•¯·”Hello!
Measuring voltage and current with INA219 ...
BUS_V	SHUNT_MV	LOAD_V	CURRENT_MA
8.10	3.36	8.11	33.80
8.11	3.37	8.11	33.70
8.11	3.38	8.11	33.70
8.10	3.36	8.11	33.70
8.11	3.38	8.11	33.50
8.11	3.34	8.11	33.50
8.11	3.38	8.12	33.90
8.11	3.39	8.11	33.50
8.11	3.37	8.11	33.50
8.11	3.37	8.11	33.50
8.11	3.36	8.11	33.40
8.11	3.34	8.11	33.60
8.11	3.39	8.11	33.60
8.11	3.34	8.11	33.80
8.11	3.37	8.11	33.70
8.11	3.38	8.11	33.50
8.11	3.38	8.11	33.80
8.11	3.37	8.11	33.50
8.11	3.38	8.11	33.60
8.11	3.38	8.11	33.70
8.11	3.36	8.11	33.80
8.10	3.36	8.11	33.80
8.11	3.36	8.11	33.90
8.11	3.35	8.11	33.50
8.11	3.38	8.11	33.60
8.10	3.37	8.11	33.60
8.11	3.37	8.11	33.90
8.11	3.37	8.11	33.50
8.11	3.36	8.11	33.60
8.11	3.37	8.11	33.70
8.10	3.35	8.11	33.70
8.08	5.10	8.08	51.40
8.07	5.10	8.07	51.10
8.07	5.11	8.07	51.20
8.07	5.12	8.07	51.00
8.06	5.12	8.07	51.00
8.06	5.11	8.07	51.30
8.06	5.11	8.07	51.10
8.06	5.13	8.07	51.00
8.06	5.12	8.07	51.00
8.06	5.10	8.07	50.50
8.06	5.07	8.07	50.50
8.06	5.03	8.07	50.60
8.06	5.02	8.07	50.20
8.06	5.00	8.07	50.00
8.06	4.87	8.07	48.90
8.06	4.93	8.07	49.30
8.06	4.91	8.07	49.40
8.06	4.94	8.06	49.90
8.06	4.99	8.07	49.80
8.06	4.99	8.07	49.90
